,Optimal_Affected_Component_Uid,Optimal_Failure,ln
95,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
96,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
97,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
98,_SE3ehOcdEeet0YmmfbMwkw,CF1,59.3264
99,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
100,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
101,_SFMOcecdEeet0YmmfbMwkw,CF3,2.4899
102,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
103,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
104,_SFBPaucdEeet0YmmfbMwkw,CF1,4.2829
105,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
106,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
107,_SE7Iq-cdEeet0YmmfbMwkw,CF3,4.5837
108,_SFDr0ecdEeet0YmmfbMwkw,CF3,97.4226
109,_SFDr0ecdEeet0YmmfbMwkw,CF3,97.1349
110,_SFOraecdEeet0YmmfbMwkw,CF1,4.4049
111,_SFOraecdEeet0YmmfbMwkw,CF1,4.4049
112,_SFOraecdEeet0YmmfbMwkw,CF1,4.4049
113,_SE7wFecdEeet0YmmfbMwkw,CF1,3.3537
114,_SE7wFecdEeet0YmmfbMwkw,CF1,3.3537
115,_SFGv--cdEeet0YmmfbMwkw,CF1,4.3339
116,_SFGv--cdEeet0YmmfbMwkw,CF1,4.3339
117,_SFGv--cdEeet0YmmfbMwkw,CF1,4.3339
118,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
119,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
120,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
121,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
122,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
123,_SFLokecdEeet0YmmfbMwkw,CF2,4.3809
124,_SEzz3OcdEeet0YmmfbMwkw,CF1,2.6774
125,_SEzz3OcdEeet0YmmfbMwkw,CF1,2.6774
126,_SEzz3OcdEeet0YmmfbMwkw,CF1,2.6774
127,_SFLnfecdEeet0YmmfbMwkw,CF3,2.4869
128,_SFLnfecdEeet0YmmfbMwkw,CF3,2.4869
129,_SFLnfecdEeet0YmmfbMwkw,CF3,2.4869
