,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
1619,_SE-Mo-cdEeet0YmmfbMwkw,CF1,629.0,917.0982,506.8284,217.7782,368.3026,575.8803
1620,_SE7wH-cdEeet0YmmfbMwkw,CF2,629.0,917.0982,506.8284,217.7782,368.3026,575.8803
1621,_SE7Iq-cdEeet0YmmfbMwkw,CF1,629.0,917.0982,407.2361,812.9818,368.3026,575.8803
1622,_SE7ImecdEeet0YmmfbMwkw,CF1,760.0,917.0982,407.2361,812.9818,564.3829,743.5826
1623,_SE7wA-cdEeet0YmmfbMwkw,CF2,760.0,917.0982,407.2361,812.9818,564.3829,743.5826
1624,_SE8W7-cdEeet0YmmfbMwkw,CF1,760.0,917.0982,1013.3891,812.9818,923.9828,743.5826
1625,_SE7wNecdEeet0YmmfbMwkw,CF2,777.0,917.0982,1013.3891,812.9818,923.9828,545.8803
1626,_SE8XCucdEeet0YmmfbMwkw,CF1,777.0,917.0982,1013.3891,812.9818,923.9828,545.8803
1627,_SE7vtucdEeet0YmmfbMwkw,CF1,777.0,342.9129,1013.3891,812.9818,636.3829,545.8803
1628,_SE8XJecdEeet0YmmfbMwkw,CF1,987.5459,342.9129,443.4495,812.9818,636.3829,860.1886
1629,_SFAoa-cdEeet0YmmfbMwkw,CF1,987.5459,342.9129,443.4495,812.9818,636.3829,860.1886
1630,_SFAogecdEeet0YmmfbMwkw,CF1,1380.8449,472.0801,443.4495,241.8451,801.5629,860.1886
1631,_SFApC-cdEeet0YmmfbMwkw,CF1,1380.8449,472.0801,590.8284,241.8451,801.5629,888.5271
1632,_SFApIecdEeet0YmmfbMwkw,CF1,1380.8449,472.0801,590.8284,241.8451,801.5629,888.5271
1633,_SFBPaucdEeet0YmmfbMwkw,CF1,1059.5459,489.1544,590.8284,369.9542,606.3829,888.5271
1634,_SFBPgOcdEeet0YmmfbMwkw,CF1,1059.5459,489.1544,1240.8275,369.9542,606.3829,888.5271
1635,_SFB2iucdEeet0YmmfbMwkw,CF1,1059.5459,489.1544,1240.8275,369.9542,606.3829,888.5271
1636,_SFB2oOcdEeet0YmmfbMwkw,CF1,1250.3952,683.0281,1240.8275,386.0,920.9828,187.0
1637,_SFB3KucdEeet0YmmfbMwkw,CF1,1250.3952,683.0281,930.7604,386.0,920.9828,187.0
1638,_SFB3QOcdEeet0YmmfbMwkw,CF1,1250.3952,755.0281,930.4716,386.0,920.9828,187.0
1639,_SFAojecdEeet0YmmfbMwkw,CF1,1029.5459,755.0281,412.2361,570.4693,944.9107,87.3219
1640,_SFApLecdEeet0YmmfbMwkw,CF1,1029.5459,755.0281,412.2361,570.4693,944.9107,87.3219
1641,_SFBPjOcdEeet0YmmfbMwkw,CF1,1029.5459,922.0982,412.2361,631.4693,944.9107,87.3219
1642,_SFB2rOcdEeet0YmmfbMwkw,CF1,1377.8449,922.0982,1069.8543,631.4693,944.9107,693.0096
1643,_SFB3TOcdEeet0YmmfbMwkw,CF1,1377.8449,922.0982,1069.8543,631.4693,944.9107,693.0096
1644,_SFAop-cdEeet0YmmfbMwkw,CF2,1377.8449,725.0281,1069.8543,817.9818,800.5986,693.0096
1645,_SFApR-cdEeet0YmmfbMwkw,CF2,1441.664,725.0281,552.8284,817.9818,800.4163,693.0096
1646,_SFBPpucdEeet0YmmfbMwkw,CF2,1441.664,725.0281,552.8284,817.9818,245.0794,123.585
1647,_SFB2xucdEeet0YmmfbMwkw,CF2,1441.664,1022.5194,552.8284,607.4693,245.0794,123.585
1648,_SFB3ZucdEeet0YmmfbMwkw,CF2,1441.664,1022.5194,552.8284,607.4693,245.0794,123.585
1649,_SFCdmOcdEeet0YmmfbMwkw,CF1,1441.664,1022.5194,552.8284,607.4693,146.6094,271.0
1650,_SFCdrucdEeet0YmmfbMwkw,CF3,3268.0865,1066.5629,552.8284,917.1643,146.6094,271.0
1651,_SFCeOOcdEeet0YmmfbMwkw,CF1,3261.7865,1066.5629,512.8284,917.1643,146.6094,271.0
1652,_SFCeTucdEeet0YmmfbMwkw,CF3,652.0,1066.5629,512.8284,917.1643,753.4725,916.5271
1653,_SFDEt-cdEeet0YmmfbMwkw,CF1,652.0,1066.5629,512.8284,960.5672,753.4725,916.5271
1654,_SFDEzecdEeet0YmmfbMwkw,CF3,652.0,1066.5629,512.8284,960.5672,753.4725,916.5271
1655,_SFDFV-cdEeet0YmmfbMwkw,CF1,550.0,365.0,512.8284,960.5672,753.4725,92.3219
1656,_SFDFbecdEeet0YmmfbMwkw,CF3,550.0,365.0,512.8284,960.5672,181.7918,92.3219
1657,_SFDrv-cdEeet0YmmfbMwkw,CF1,550.0,365.0,618.0,960.5672,181.7918,92.3219
1658,_SFDr1ecdEeet0YmmfbMwkw,CF3,1178.0459,266.71,618.0,263.9031,181.7918,747.5826
1659,_SFDsX-cdEeet0YmmfbMwkw,CF1,1178.0459,266.71,618.0,263.9031,329.0794,747.5826
1660,_SFDsdecdEeet0YmmfbMwkw,CF3,1178.0459,266.71,648.1623,263.9031,329.0794,747.5826
1661,_SFDs_-cdEeet0YmmfbMwkw,CF1,1178.0459,872.1045,648.1623,165.699,329.0794,233.0
1662,_SFESdecdEeet0YmmfbMwkw,CF3,587.0,872.1045,648.1623,165.699,971.9107,233.0
1663,_SFES_-cdEeet0YmmfbMwkw,CF1,587.0,872.1045,816.2058,165.699,971.9107,233.0
1664,_SFETFecdEeet0YmmfbMwkw,CF3,587.0,872.1045,816.2058,767.5082,971.9107,233.0
1665,_SFE50OcdEeet0YmmfbMwkw,CF1,736.0,301.8171,816.2058,767.5082,846.1168,233.0
1666,_SFE55ucdEeet0YmmfbMwkw,CF3,736.0,301.8171,816.2058,767.5082,846.0427,233.0
1667,_SFE6cOcdEeet0YmmfbMwkw,CF1,736.0,301.8171,743.873,767.5082,151.6094,751.0557
1668,_SFE6hucdEeet0YmmfbMwkw,CF3,1469.664,449.0,743.873,200.7782,151.6094,750.863
1669,_SFFhCOcdEeet0YmmfbMwkw,CF1,1469.664,449.0,934.2058,200.7782,151.6094,193.0
1670,_SFFhHucdEeet0YmmfbMwkw,CF3,1469.664,449.0,934.2058,200.7782,805.5629,193.0
1671,_SFFhqOcdEeet0YmmfbMwkw,CF1,2713.2992,1093.5629,934.2058,330.9031,805.5629,193.0
1672,_SFFhvucdEeet0YmmfbMwkw,CF3,2708.7992,1093.5629,535.8284,330.9031,805.5629,193.0
1673,_SFGH8ucdEeet0YmmfbMwkw,CF1,555.0,1093.5629,535.8284,330.9031,291.0794,193.0
1674,_SFGICOcdEeet0YmmfbMwkw,CF3,555.0,271.71,535.8284,987.5672,291.0794,193.0
1675,_SFGIkucdEeet0YmmfbMwkw,CF1,555.0,271.71,569.8284,987.5672,291.0794,298.1699
1676,_SFGIqOcdEeet0YmmfbMwkw,CF3,1254.3952,271.71,569.8284,987.5672,291.0794,298.1699
1677,_SFGuu-cdEeet0YmmfbMwkw,CF1,1254.3952,926.0982,569.8284,837.577,291.0794,298.1699
1678,_SFGu0ecdEeet0YmmfbMwkw,CF3,1254.3952,926.0982,491.6458,837.5449,291.0794,328.3219
1679,_SFGvW-cdEeet0YmmfbMwkw,CF1,698.0,926.0982,491.6458,170.699,251.0794,328.3219
1680,_SFGvcecdEeet0YmmfbMwkw,CF3,698.0,411.0,491.6458,170.699,251.0794,328.3219
