,Optimal_Affected_Component_Uid,Optimal_Failure,raw
2000,_SEuUaOcdEeet0YmmfbMwkw,CF1,8.43
2001,_SEuUaOcdEeet0YmmfbMwkw,CF1,8.43
2002,_SFETTecdEeet0YmmfbMwkw,CF2,9.505
2003,_SFETTecdEeet0YmmfbMwkw,CF2,9.505
2004,_SFETTecdEeet0YmmfbMwkw,CF2,9.505
2005,_SE-z0OcdEeet0YmmfbMwkw,CF1,26.1939
2006,_SE-z0OcdEeet0YmmfbMwkw,CF1,26.1939
2007,_SE-z0OcdEeet0YmmfbMwkw,CF1,26.1939
2008,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2009,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2010,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2011,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2012,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2013,_SFM2YecdEeet0YmmfbMwkw,CF2,27.9639
2014,_SFJLBecdEeet0YmmfbMwkw,CF3,50.3972
2015,_SFJLBecdEeet0YmmfbMwkw,CF3,50.3972
2016,_SFJLBecdEeet0YmmfbMwkw,CF3,50.3972
2017,_SFABnucdEeet0YmmfbMwkw,CF2,8.44
2018,_SFABnucdEeet0YmmfbMwkw,CF2,8.44
2019,_SFABnucdEeet0YmmfbMwkw,CF2,8.44
2020,_SFFhKucdEeet0YmmfbMwkw,CF1,10.555
2021,_SFFhKucdEeet0YmmfbMwkw,CF1,10.555
2022,_SFFhKucdEeet0YmmfbMwkw,CF1,10.555
2023,_SFKaZecdEeet0YmmfbMwkw,CF3,50.4052
2024,_SFKaZecdEeet0YmmfbMwkw,CF3,50.4052
2025,_SFKaZecdEeet0YmmfbMwkw,CF3,50.4052
2026,_SE_aVOcdEeet0YmmfbMwkw,CF3,26.2399
2027,_SE_aVOcdEeet0YmmfbMwkw,CF3,26.2399
2028,_SE_aVOcdEeet0YmmfbMwkw,CF3,26.2399
2029,_SFGHoOcdEeet0YmmfbMwkw,CF2,9.508
2030,_SFGHoOcdEeet0YmmfbMwkw,CF2,9.508
2031,_SFGHoOcdEeet0YmmfbMwkw,CF2,9.508
2032,_SE3equcdEeet0YmmfbMwkw,CF2,11.071
2033,_SE3equcdEeet0YmmfbMwkw,CF2,11.071
2034,_SE3equcdEeet0YmmfbMwkw,CF2,11.071
2035,_SE4sVecdEeet0YmmfbMwkw,CF2,7.3629999999999995
2036,_SE4sVecdEeet0YmmfbMwkw,CF2,7.3629999999999995
2037,_SE4sVecdEeet0YmmfbMwkw,CF2,7.3629999999999995
2038,_SFB2qOcdEeet0YmmfbMwkw,CF3,2041.1432
2039,_SFB2qOcdEeet0YmmfbMwkw,CF3,2032.1432
2040,_SFGIqOcdEeet0YmmfbMwkw,CF1,26.3329
2041,_SFGIqOcdEeet0YmmfbMwkw,CF1,26.3329
2042,_SFGIqOcdEeet0YmmfbMwkw,CF1,26.3329
2043,_SFGIqOcdEeet0YmmfbMwkw,CF1,26.3329
2044,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2045,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2046,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2047,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2048,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2049,_SFETO-cdEeet0YmmfbMwkw,CF2,8.458
2050,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2051,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2052,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2053,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2054,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2055,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104000000000001
2056,_SE4FUecdEeet0YmmfbMwkw,CF2,26.2099
2057,_SE4FUecdEeet0YmmfbMwkw,CF2,26.2099
2058,_SE4FUecdEeet0YmmfbMwkw,CF2,26.2099
2059,_SFLn2-cdEeet0YmmfbMwkw,CF1,26.3779
2060,_SFLn2-cdEeet0YmmfbMwkw,CF1,26.3779
2061,_SFLn2-cdEeet0YmmfbMwkw,CF1,26.3779
2062,_SFLnTecdEeet0YmmfbMwkw,CF2,14.11
2063,_SFLnTecdEeet0YmmfbMwkw,CF2,14.11
2064,_SFLnTecdEeet0YmmfbMwkw,CF2,14.11
2065,_SFLnTecdEeet0YmmfbMwkw,CF2,14.11
2066,_SEu7n-cdEeet0YmmfbMwkw,CF2,41.3964
2067,_SEu7n-cdEeet0YmmfbMwkw,CF2,41.3964
2068,_SEu7n-cdEeet0YmmfbMwkw,CF2,41.3964
2069,_SFACROcdEeet0YmmfbMwkw,CF3,7.371
2070,_SFACROcdEeet0YmmfbMwkw,CF3,7.371
2071,_SFACROcdEeet0YmmfbMwkw,CF3,7.371
2072,_SFS9GucdEeet0YmmfbMwkw,CF3,805.4938
2073,_SFS9GucdEeet0YmmfbMwkw,CF3,801.9938
2074,_SEymGucdEeet0YmmfbMwkw,CF3,26.2629
2075,_SEymGucdEeet0YmmfbMwkw,CF3,26.2629
2076,_SFKacecdEeet0YmmfbMwkw,CF1,26.3639
2077,_SFKacecdEeet0YmmfbMwkw,CF1,26.3639
2078,_SFKacecdEeet0YmmfbMwkw,CF1,26.3639
2079,_SFLB6ecdEeet0YmmfbMwkw,CF1,7.381
2080,_SFLB6ecdEeet0YmmfbMwkw,CF1,7.381
2081,_SFLB6ecdEeet0YmmfbMwkw,CF1,7.381
2082,_SFOFVucdEeet0YmmfbMwkw,CF1,10.57
2083,_SFOFVucdEeet0YmmfbMwkw,CF1,10.57
2084,_SFOFVucdEeet0YmmfbMwkw,CF1,10.57
2085,_SFLAbucdEeet0YmmfbMwkw,CF3,77.1445
2086,_SFLAbucdEeet0YmmfbMwkw,CF3,77.1445
2087,_SFLAbucdEeet0YmmfbMwkw,CF3,77.1445
2088,_SFNdqOcdEeet0YmmfbMwkw,CF1,10.565999999999999
2089,_SFNdqOcdEeet0YmmfbMwkw,CF1,10.565999999999999
2090,_SFNdqOcdEeet0YmmfbMwkw,CF1,10.565999999999999
2091,_SFOrf-cdEeet0YmmfbMwkw,CF1,26.4099
2092,_SFOrf-cdEeet0YmmfbMwkw,CF1,26.4099
2093,_SFOrf-cdEeet0YmmfbMwkw,CF1,26.4099
2094,_SFDEwecdEeet0YmmfbMwkw,CF3,50.3802
2095,_SFDEwecdEeet0YmmfbMwkw,CF3,50.3802
2096,_SFDEwecdEeet0YmmfbMwkw,CF3,50.3802
2097,_SFDEwecdEeet0YmmfbMwkw,CF3,50.3802
2098,_SFDEwecdEeet0YmmfbMwkw,CF3,50.3802
2099,_SE3eaOcdEeet0YmmfbMwkw,CF3,26.2079
2100,_SE3eaOcdEeet0YmmfbMwkw,CF3,26.2079
2101,_SE3eaOcdEeet0YmmfbMwkw,CF3,26.2079
2102,_SFNdpOcdEeet0YmmfbMwkw,CF3,97.79799999999999
2103,_SFNdpOcdEeet0YmmfbMwkw,CF3,97.79799999999999
2104,_SFMPnOcdEeet0YmmfbMwkw,CF1,8.482999999999999
2105,_SFMPnOcdEeet0YmmfbMwkw,CF1,8.482999999999999
2106,_SFMPnOcdEeet0YmmfbMwkw,CF1,8.482999999999999
2107,_SFApR-cdEeet0YmmfbMwkw,CF3,8.445
2108,_SFApR-cdEeet0YmmfbMwkw,CF3,8.445
2109,_SFApR-cdEeet0YmmfbMwkw,CF3,8.445
2110,_SFACAucdEeet0YmmfbMwkw,CF1,26.2729
2111,_SFACAucdEeet0YmmfbMwkw,CF1,26.2729
2112,_SFACAucdEeet0YmmfbMwkw,CF1,26.2729
2113,_SEu7iucdEeet0YmmfbMwkw,CF3,1606.6757
2114,_SEu7iucdEeet0YmmfbMwkw,CF3,1600.3757
2115,_SEu7iucdEeet0YmmfbMwkw,CF3,1594.0757
2116,_SEu7iucdEeet0YmmfbMwkw,CF3,1594.0757
2117,_SEu7iucdEeet0YmmfbMwkw,CF3,1594.0757
2118,_SEu7jecdEeet0YmmfbMwkw,CF1,50.3622
2119,_SEu7jecdEeet0YmmfbMwkw,CF1,50.3622
2120,_SEu7jecdEeet0YmmfbMwkw,CF1,50.3622
2121,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2122,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2123,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2124,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2125,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2126,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429
2127,_SFKZ4-cdEeet0YmmfbMwkw,CF1,5.322
2128,_SFKZ4-cdEeet0YmmfbMwkw,CF1,5.322
2129,_SFKZ4-cdEeet0YmmfbMwkw,CF1,5.322
2130,_SFLAmecdEeet0YmmfbMwkw,CF3,8.477
2131,_SFLAmecdEeet0YmmfbMwkw,CF3,8.477
2132,_SFLAmecdEeet0YmmfbMwkw,CF3,8.477
2133,_SEtGGecdEeet0YmmfbMwkw,CF3,97.77
2134,_SEtGGecdEeet0YmmfbMwkw,CF3,97.77
2135,_SFDryecdEeet0YmmfbMwkw,CF3,50.3822
2136,_SFDryecdEeet0YmmfbMwkw,CF3,50.3822
2137,_SFDryecdEeet0YmmfbMwkw,CF3,50.3822
2138,_SFDryecdEeet0YmmfbMwkw,CF3,50.3822
2139,_SFS8eucdEeet0YmmfbMwkw,CF3,58.3889
2140,_SFS8eucdEeet0YmmfbMwkw,CF3,58.3889
2141,_SFLB7-cdEeet0YmmfbMwkw,CF3,5.33
2142,_SFLB7-cdEeet0YmmfbMwkw,CF3,5.33
2143,_SFLB7-cdEeet0YmmfbMwkw,CF3,5.33
2144,_SE8-E-cdEeet0YmmfbMwkw,CF1,26.2229
2145,_SE8-E-cdEeet0YmmfbMwkw,CF1,26.2229
2146,_SE8-E-cdEeet0YmmfbMwkw,CF1,26.2229
2147,_SE8-E-cdEeet0YmmfbMwkw,CF1,26.2229
2148,_SE8XH-cdEeet0YmmfbMwkw,CF2,7.367000000000001
2149,_SE8XH-cdEeet0YmmfbMwkw,CF2,7.367000000000001
2150,_SE8XH-cdEeet0YmmfbMwkw,CF2,7.367000000000001
2151,_SFJzmecdEeet0YmmfbMwkw,CF2,9.516
2152,_SFJzmecdEeet0YmmfbMwkw,CF2,9.516
2153,_SFJzmecdEeet0YmmfbMwkw,CF2,9.516
2154,_SFJyFecdEeet0YmmfbMwkw,CF3,50.3992
2155,_SFJyFecdEeet0YmmfbMwkw,CF3,50.3992
2156,_SFJyFecdEeet0YmmfbMwkw,CF3,50.3992
2157,_SFHV7OcdEeet0YmmfbMwkw,CF2,6.348
2158,_SFHV7OcdEeet0YmmfbMwkw,CF2,6.348
2159,_SFHV7OcdEeet0YmmfbMwkw,CF2,6.348
2160,_SFKag-cdEeet0YmmfbMwkw,CF3,5.3260000000000005
2161,_SFKag-cdEeet0YmmfbMwkw,CF3,5.3260000000000005
2162,_SFKag-cdEeet0YmmfbMwkw,CF3,5.3260000000000005
2163,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2164,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2165,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2166,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2167,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2168,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002
2169,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2170,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2171,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2172,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2173,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2174,_SFM29-cdEeet0YmmfbMwkw,CF2,14.110999999999999
2175,_SFKafecdEeet0YmmfbMwkw,CF3,15.633
2176,_SFKafecdEeet0YmmfbMwkw,CF3,15.633
2177,_SFKafecdEeet0YmmfbMwkw,CF3,15.633
2178,_SFGICOcdEeet0YmmfbMwkw,CF3,26.3309
2179,_SFGICOcdEeet0YmmfbMwkw,CF3,26.3309
2180,_SFGICOcdEeet0YmmfbMwkw,CF3,26.3309
2181,_SFJzc-cdEeet0YmmfbMwkw,CF3,5.321000000000001
2182,_SFJzc-cdEeet0YmmfbMwkw,CF3,5.321000000000001
2183,_SFJzc-cdEeet0YmmfbMwkw,CF3,5.321000000000001
2184,_SFES_-cdEeet0YmmfbMwkw,CF1,26.3199
2185,_SFES_-cdEeet0YmmfbMwkw,CF1,26.3199
2186,_SFES_-cdEeet0YmmfbMwkw,CF1,26.3199
2187,_SFETCecdEeet0YmmfbMwkw,CF3,50.3872
2188,_SFETCecdEeet0YmmfbMwkw,CF3,50.3872
2189,_SFETCecdEeet0YmmfbMwkw,CF3,50.3872
2190,_SExYKucdEeet0YmmfbMwkw,CF3,26.2599
2191,_SExYKucdEeet0YmmfbMwkw,CF3,26.2599
2192,_SExYKucdEeet0YmmfbMwkw,CF3,26.2599
2193,_SExYKucdEeet0YmmfbMwkw,CF3,26.2599
2194,_SE8-P-cdEeet0YmmfbMwkw,CF1,10.53
2195,_SE8-P-cdEeet0YmmfbMwkw,CF1,10.53
2196,_SE8-P-cdEeet0YmmfbMwkw,CF1,10.53
2197,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2198,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2199,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2200,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2201,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2202,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912
2203,_SFSU9ecdEeet0YmmfbMwkw,CF1,50.4302
2204,_SFSU9ecdEeet0YmmfbMwkw,CF1,50.4302
2205,_SFSU9ecdEeet0YmmfbMwkw,CF1,50.4302
2206,_SFCduucdEeet0YmmfbMwkw,CF1,10.545
2207,_SFCduucdEeet0YmmfbMwkw,CF1,10.545
2208,_SFCduucdEeet0YmmfbMwkw,CF1,10.545
2209,_SFKZ2ecdEeet0YmmfbMwkw,CF1,97.781
2210,_SFKZ2ecdEeet0YmmfbMwkw,CF1,97.781
2211,_SE8XJecdEeet0YmmfbMwkw,CF1,5.307
2212,_SE8XJecdEeet0YmmfbMwkw,CF1,5.307
2213,_SE8XJecdEeet0YmmfbMwkw,CF1,5.307
2214,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2215,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2216,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2217,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2218,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2219,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2220,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2221,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2222,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512
2223,_SFLAXecdEeet0YmmfbMwkw,CF1,26.3659
2224,_SFLAXecdEeet0YmmfbMwkw,CF1,26.3659
2225,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994
2226,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994
2227,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994
2228,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994
2229,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994
2230,_SFOroOcdEeet0YmmfbMwkw,CF2,6.355
2231,_SFOroOcdEeet0YmmfbMwkw,CF2,6.355
2232,_SFOroOcdEeet0YmmfbMwkw,CF2,6.355
2233,_SFJzjecdEeet0YmmfbMwkw,CF2,7.376
2234,_SFJzjecdEeet0YmmfbMwkw,CF2,7.376
2235,_SFJzjecdEeet0YmmfbMwkw,CF2,7.376
2236,_SFLBHecdEeet0YmmfbMwkw,CF3,26.3749
2237,_SFLBHecdEeet0YmmfbMwkw,CF3,26.3749
2238,_SFLBHecdEeet0YmmfbMwkw,CF3,26.3749
2239,_SFGu1-cdEeet0YmmfbMwkw,CF1,27.9569
2240,_SFGu1-cdEeet0YmmfbMwkw,CF1,27.9569
2241,_SFGu1-cdEeet0YmmfbMwkw,CF1,27.9569
2242,_SFGu1-cdEeet0YmmfbMwkw,CF1,27.9569
2243,_SFOFRucdEeet0YmmfbMwkw,CF3,28.4859
2244,_SFOFRucdEeet0YmmfbMwkw,CF3,28.4859
2245,_SEwJrOcdEeet0YmmfbMwkw,CF3,61.8979
2246,_SEwJrOcdEeet0YmmfbMwkw,CF3,61.8979
2247,_SEwJrOcdEeet0YmmfbMwkw,CF3,61.8979
2248,_SEwJrOcdEeet0YmmfbMwkw,CF3,61.8979
2249,_SFGwSecdEeet0YmmfbMwkw,CF2,9.513
2250,_SFGwSecdEeet0YmmfbMwkw,CF2,9.513
2251,_SFGwSecdEeet0YmmfbMwkw,CF2,9.513
2252,_SE-zuucdEeet0YmmfbMwkw,CF1,26.2009
2253,_SE-zuucdEeet0YmmfbMwkw,CF1,26.2009
2254,_SE-zuucdEeet0YmmfbMwkw,CF1,26.2009
2255,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2256,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2257,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2258,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2259,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2260,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469
2261,_SE7Io-cdEeet0YmmfbMwkw,CF3,50.3602
2262,_SE7Io-cdEeet0YmmfbMwkw,CF3,50.3602
2263,_SE7Io-cdEeet0YmmfbMwkw,CF3,50.3602
2264,_SFODgecdEeet0YmmfbMwkw,CF1,8.487
2265,_SFODgecdEeet0YmmfbMwkw,CF1,8.487
2266,_SFODgecdEeet0YmmfbMwkw,CF1,8.487
2267,_SFS8rOcdEeet0YmmfbMwkw,CF2,9.519
2268,_SFS8rOcdEeet0YmmfbMwkw,CF2,9.519
2269,_SFS8rOcdEeet0YmmfbMwkw,CF2,9.519
2270,_SFJyEucdEeet0YmmfbMwkw,CF1,1497.4935
2271,_SFJyEucdEeet0YmmfbMwkw,CF1,1510.0935
2272,_SFJyEucdEeet0YmmfbMwkw,CF1,1510.0935
2273,_SFJyEucdEeet0YmmfbMwkw,CF1,1510.0935
2274,_SE23jOcdEeet0YmmfbMwkw,CF1,50.3572
2275,_SE23jOcdEeet0YmmfbMwkw,CF1,50.3572
2276,_SE23jOcdEeet0YmmfbMwkw,CF1,50.3572
2277,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2278,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2279,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2280,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2281,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2282,_SEu7pecdEeet0YmmfbMwkw,CF1,10.536
2283,_SE-z9ucdEeet0YmmfbMwkw,CF2,8.405
2284,_SE-z9ucdEeet0YmmfbMwkw,CF2,8.405
2285,_SE-z9ucdEeet0YmmfbMwkw,CF2,8.405
2286,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2287,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2288,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2289,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
