,Optimal_Affected_Component_Uid,Optimal_Failure,log2
0,_SFJzUucdEeet0YmmfbMwkw,CF3,9.5714
1,_SFJzUucdEeet0YmmfbMwkw,CF3,9.5714
2,_SFJzUucdEeet0YmmfbMwkw,CF3,9.5714
3,_SFKZG-cdEeet0YmmfbMwkw,CF1,5.8073
4,_SFKZG-cdEeet0YmmfbMwkw,CF1,5.8073
5,_SFKZG-cdEeet0YmmfbMwkw,CF1,5.8073
6,_SE4FQucdEeet0YmmfbMwkw,CF3,8.3536
7,_SE4FQucdEeet0YmmfbMwkw,CF3,8.3536
8,_SE4FQucdEeet0YmmfbMwkw,CF3,8.3536
9,_SFMPb-cdEeet0YmmfbMwkw,CF1,5.8423
10,_SFMPb-cdEeet0YmmfbMwkw,CF1,5.8423
11,_SFMPb-cdEeet0YmmfbMwkw,CF1,5.8423
12,_SEu7lecdEeet0YmmfbMwkw,CF3,6.0922
13,_SEu7lecdEeet0YmmfbMwkw,CF3,6.0922
14,_SEu7lecdEeet0YmmfbMwkw,CF3,6.0922
15,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.552
16,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.552
17,_SEuUd-cdEeet0YmmfbMwkw,CF1,3.552
18,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
19,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
20,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
21,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
22,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
23,_SE5TmucdEeet0YmmfbMwkw,CF1,5.6663
24,_SFKajecdEeet0YmmfbMwkw,CF3,3.595
25,_SFKajecdEeet0YmmfbMwkw,CF3,3.595
26,_SFKajecdEeet0YmmfbMwkw,CF3,3.595
27,_SEu7uucdEeet0YmmfbMwkw,CF3,3.7839
28,_SEu7uucdEeet0YmmfbMwkw,CF3,3.7839
29,_SEu7uucdEeet0YmmfbMwkw,CF3,3.7839
30,_SFLBJecdEeet0YmmfbMwkw,CF3,9.7671
31,_SFLBJecdEeet0YmmfbMwkw,CF3,9.7671
32,_SFLBJecdEeet0YmmfbMwkw,CF3,9.7671
33,_SExXzOcdEeet0YmmfbMwkw,CF1,3.2974
34,_SExXzOcdEeet0YmmfbMwkw,CF1,3.2974
