,Optimal_Affected_Component_Uid,Optimal_Failure,log10
95,_SE23oOcdEeet0YmmfbMwkw,CF1,17.0776
96,_SE23oOcdEeet0YmmfbMwkw,CF1,17.1823
97,_SE23oOcdEeet0YmmfbMwkw,CF1,17.0776
98,_SE23oOcdEeet0YmmfbMwkw,CF1,17.1823
99,_SFMOcecdEeet0YmmfbMwkw,CF3,1.3891
100,_SFMOcecdEeet0YmmfbMwkw,CF3,1.3891
101,_SFMOcecdEeet0YmmfbMwkw,CF3,1.3891
102,_SFBPaucdEeet0YmmfbMwkw,CF1,2.3523
103,_SFBPaucdEeet0YmmfbMwkw,CF1,2.3523
104,_SFBPaucdEeet0YmmfbMwkw,CF1,2.3523
105,_SE7Iq-cdEeet0YmmfbMwkw,CF3,2.6005
106,_SE7Iq-cdEeet0YmmfbMwkw,CF3,2.6005
107,_SE7Iq-cdEeet0YmmfbMwkw,CF3,2.6005
108,_SFDr0ecdEeet0YmmfbMwkw,CF3,42.5201
109,_SFDr0ecdEeet0YmmfbMwkw,CF3,42.3951
110,_SFOraecdEeet0YmmfbMwkw,CF1,2.4603
111,_SFOraecdEeet0YmmfbMwkw,CF1,2.4603
112,_SFOraecdEeet0YmmfbMwkw,CF1,2.4603
113,_SE7wFecdEeet0YmmfbMwkw,CF1,1.8803
114,_SE7wFecdEeet0YmmfbMwkw,CF1,1.8803
115,_SFGv--cdEeet0YmmfbMwkw,CF1,2.3973
116,_SFGv--cdEeet0YmmfbMwkw,CF1,2.3973
117,_SFGv--cdEeet0YmmfbMwkw,CF1,2.3973
118,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
119,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
120,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
121,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
122,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
123,_SFLokecdEeet0YmmfbMwkw,CF2,2.5093
124,_SEzz3OcdEeet0YmmfbMwkw,CF1,1.4981
125,_SEzz3OcdEeet0YmmfbMwkw,CF1,1.4981
126,_SEzz3OcdEeet0YmmfbMwkw,CF1,1.4981
127,_SFLnfecdEeet0YmmfbMwkw,CF3,1.3861
128,_SFLnfecdEeet0YmmfbMwkw,CF3,1.3861
129,_SFLnfecdEeet0YmmfbMwkw,CF3,1.3861
130,_SE8XmecdEeet0YmmfbMwkw,CF1,2.5582
131,_SE8XmecdEeet0YmmfbMwkw,CF1,2.5582
132,_SE8XmecdEeet0YmmfbMwkw,CF1,2.5582
133,_SE8XmecdEeet0YmmfbMwkw,CF1,2.5582
134,_SFJLBecdEeet0YmmfbMwkw,CF1,3.1378
135,_SFJLBecdEeet0YmmfbMwkw,CF1,3.1378
136,_SFJLBecdEeet0YmmfbMwkw,CF1,3.1378
137,_SFMPjecdEeet0YmmfbMwkw,CF2,3.8502
138,_SFMPjecdEeet0YmmfbMwkw,CF2,3.8502
139,_SFMPjecdEeet0YmmfbMwkw,CF2,3.8502
140,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
141,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
142,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
143,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
144,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
145,_SFM2T-cdEeet0YmmfbMwkw,CF2,3.1578
146,_SFB2iucdEeet0YmmfbMwkw,CF1,2.3473
147,_SFB2iucdEeet0YmmfbMwkw,CF1,2.3473
148,_SFB2iucdEeet0YmmfbMwkw,CF1,2.3473
149,_SFSVIucdEeet0YmmfbMwkw,CF2,1.2972
150,_SFSVIucdEeet0YmmfbMwkw,CF2,1.2972
151,_SFSVIucdEeet0YmmfbMwkw,CF2,1.2972
152,_SE-MvecdEeet0YmmfbMwkw,CF2,1.3651
153,_SE-MvecdEeet0YmmfbMwkw,CF2,1.3651
154,_SE-MvecdEeet0YmmfbMwkw,CF2,1.3651
155,_SE-zLOcdEeet0YmmfbMwkw,CF1,1.8773
156,_SE-zLOcdEeet0YmmfbMwkw,CF1,1.8773
157,_SE-zLOcdEeet0YmmfbMwkw,CF1,1.8773
158,_SE-zLOcdEeet0YmmfbMwkw,CF1,1.8773
